subscriber,recorded_at,plan_changes_to_date
SUB-00225,2026-03-12T13:00:00Z,0
SUB-00225,2026-03-28T13:00:00Z,3
SUB-00226,2026-01-16T23:00:00Z,0
SUB-00226,2026-02-27T23:00:00Z,0
SUB-00226,2026-03-18T23:00:00Z,5
SUB-00227,2026-01-20T18:00:00Z,0
SUB-00227,2026-03-03T18:00:00Z,0
SUB-00227,2026-03-10T18:00:00Z,3
SUB-00228,2026-01-21T03:00:00Z,0
SUB-00228,2026-03-04T03:00:00Z,1
SUB-00228,2026-03-20T03:00:00Z,5
SUB-00229,2026-01-21T05:00:00Z,0
SUB-00229,2026-03-04T05:00:00Z,0
SUB-00230,2026-01-17T19:00:00Z,0
SUB-00230,2026-02-28T19:00:00Z,0
SUB-00231,2026-01-22T20:00:00Z,1
SUB-00231,2026-03-05T20:00:00Z,2
SUB-00232,2026-01-24T06:00:00Z,0
SUB-00232,2026-03-07T06:00:00Z,0
SUB-00233,2026-01-24T06:00:00Z,0
SUB-00233,2026-03-07T06:00:00Z,0
SUB-00233,2026-03-29T06:00:00Z,3
SUB-00234,2026-01-17T18:00:00Z,0
SUB-00234,2026-02-28T18:00:00Z,1
SUB-00235,2026-01-20T03:00:00Z,0
SUB-00235,2026-03-03T03:00:00Z,0
SUB-00236,2026-01-27T22:00:00Z,0
SUB-00236,2026-03-10T22:00:00Z,0
SUB-00237,2026-01-25T00:00:00Z,0
SUB-00237,2026-03-08T00:00:00Z,0
SUB-00238,2026-01-21T20:00:00Z,0
SUB-00238,2026-03-04T20:00:00Z,0
SUB-00238,2026-03-14T20:00:00Z,4
SUB-00239,2026-01-27T17:00:00Z,0
SUB-00239,2026-03-10T17:00:00Z,0
SUB-00240,2026-01-22T17:00:00Z,0
SUB-00240,2026-03-05T17:00:00Z,0
SUB-00241,2026-01-20T03:00:00Z,0
SUB-00241,2026-03-03T03:00:00Z,0
SUB-00241,2026-03-14T03:00:00Z,2
SUB-00242,2026-01-26T01:00:00Z,1
SUB-00242,2026-03-09T01:00:00Z,2
SUB-00242,2026-04-07T01:00:00Z,4
SUB-00243,2026-01-23T17:00:00Z,0
SUB-00243,2026-03-06T17:00:00Z,0
SUB-00244,2026-01-21T02:00:00Z,0
SUB-00244,2026-03-04T02:00:00Z,1
SUB-00245,2026-01-30T01:00:00Z,0
SUB-00245,2026-03-13T01:00:00Z,0
SUB-00245,2026-04-02T01:00:00Z,5
SUB-00246,2026-01-22T10:00:00Z,0
SUB-00246,2026-03-05T10:00:00Z,0
SUB-00247,2026-01-28T22:00:00Z,0
SUB-00247,2026-03-11T22:00:00Z,1
SUB-00247,2026-03-16T22:00:00Z,6
SUB-00248,2026-01-28T06:00:00Z,0
SUB-00248,2026-03-11T06:00:00Z,1
SUB-00248,2026-03-24T06:00:00Z,3
SUB-00249,2026-01-19T08:00:00Z,0
SUB-00249,2026-03-02T08:00:00Z,0
SUB-00249,2026-03-21T08:00:00Z,5
SUB-00250,2026-01-25T00:00:00Z,0
SUB-00250,2026-03-08T00:00:00Z,0
SUB-00250,2026-03-23T00:00:00Z,1
SUB-00251,2026-01-29T03:00:00Z,0
SUB-00251,2026-03-12T03:00:00Z,0
SUB-00252,2026-01-23T17:00:00Z,0
SUB-00252,2026-03-06T17:00:00Z,0
SUB-00252,2026-03-28T17:00:00Z,2
SUB-00253,2026-01-16T10:00:00Z,0
SUB-00253,2026-02-27T10:00:00Z,1
SUB-00254,2026-01-22T13:00:00Z,0
SUB-00254,2026-03-05T13:00:00Z,0
SUB-00254,2026-03-11T13:00:00Z,3
SUB-00255,2026-01-27T00:00:00Z,0
SUB-00255,2026-03-10T00:00:00Z,1
SUB-00255,2026-04-08T00:00:00Z,5
SUB-00256,2026-01-18T05:00:00Z,0
SUB-00256,2026-03-01T05:00:00Z,0
SUB-00256,2026-03-24T05:00:00Z,5
SUB-00257,2026-01-19T01:00:00Z,0
SUB-00257,2026-03-02T01:00:00Z,0
SUB-00258,2026-01-26T18:00:00Z,0
SUB-00258,2026-03-09T18:00:00Z,0
SUB-00258,2026-04-01T18:00:00Z,1
SUB-00259,2026-01-26T04:00:00Z,1
SUB-00259,2026-03-09T04:00:00Z,2
SUB-00260,2026-01-23T01:00:00Z,0
SUB-00260,2026-03-06T01:00:00Z,0
SUB-00260,2026-03-18T01:00:00Z,4
SUB-00261,2026-01-29T10:00:00Z,0
SUB-00261,2026-03-12T10:00:00Z,1
SUB-00261,2026-04-05T10:00:00Z,5
SUB-00262,2026-01-21T20:00:00Z,1
SUB-00262,2026-03-04T20:00:00Z,2
SUB-00263,2026-01-30T04:00:00Z,0
SUB-00263,2026-03-13T04:00:00Z,0
SUB-00263,2026-04-01T04:00:00Z,4
SUB-00264,2026-01-26T19:00:00Z,1
SUB-00264,2026-03-09T19:00:00Z,2
SUB-00265,2026-01-21T13:00:00Z,0
SUB-00265,2026-03-04T13:00:00Z,0
SUB-00265,2026-03-27T13:00:00Z,1
SUB-00266,2026-01-23T22:00:00Z,0
SUB-00266,2026-03-06T22:00:00Z,1
SUB-00266,2026-03-25T22:00:00Z,5
SUB-00267,2026-01-23T08:00:00Z,0
SUB-00267,2026-03-06T08:00:00Z,0
SUB-00268,2026-01-19T16:00:00Z,0
SUB-00268,2026-03-02T16:00:00Z,0
SUB-00268,2026-03-26T16:00:00Z,5
SUB-00269,2026-01-26T21:00:00Z,0
SUB-00269,2026-03-09T21:00:00Z,1
SUB-00269,2026-04-03T21:00:00Z,5
SUB-00270,2026-01-17T18:00:00Z,0
SUB-00270,2026-02-28T18:00:00Z,0
SUB-00271,2026-01-20T02:00:00Z,0
SUB-00271,2026-03-03T02:00:00Z,0
SUB-00271,2026-03-13T02:00:00Z,4
SUB-00272,2026-01-25T23:00:00Z,0
SUB-00272,2026-03-08T23:00:00Z,1
SUB-00273,2026-01-30T07:00:00Z,0
SUB-00273,2026-03-13T07:00:00Z,0
SUB-00274,2026-01-19T01:00:00Z,0
SUB-00274,2026-03-02T01:00:00Z,0
SUB-00275,2026-01-18T18:00:00Z,0
SUB-00275,2026-03-01T18:00:00Z,0
SUB-00275,2026-03-26T18:00:00Z,2
SUB-00276,2026-01-16T12:00:00Z,0
SUB-00276,2026-02-27T12:00:00Z,1
SUB-00276,2026-03-04T12:00:00Z,8
SUB-00277,2026-01-17T00:00:00Z,0
SUB-00277,2026-02-28T00:00:00Z,0
SUB-00278,2026-01-19T07:00:00Z,0
SUB-00278,2026-03-02T07:00:00Z,0
SUB-00278,2026-03-13T07:00:00Z,5
SUB-00279,2026-01-22T03:00:00Z,1
SUB-00279,2026-03-05T03:00:00Z,2
SUB-00280,2026-01-29T03:00:00Z,0
SUB-00280,2026-03-12T03:00:00Z,0
SUB-00280,2026-03-24T03:00:00Z,4
SUB-00281,2026-01-26T05:00:00Z,0
SUB-00281,2026-03-09T05:00:00Z,1
SUB-00282,2026-01-26T09:00:00Z,0
SUB-00282,2026-03-09T09:00:00Z,1
SUB-00283,2026-01-23T00:00:00Z,1
SUB-00283,2026-03-06T00:00:00Z,2
SUB-00283,2026-03-13T00:00:00Z,6
SUB-00284,2026-01-17T14:00:00Z,0
SUB-00284,2026-02-28T14:00:00Z,0
SUB-00284,2026-03-26T14:00:00Z,6
SUB-00285,2026-01-21T03:00:00Z,0
SUB-00285,2026-03-04T03:00:00Z,0
SUB-00286,2026-01-27T04:00:00Z,0
SUB-00286,2026-03-10T04:00:00Z,0
SUB-00287,2026-01-25T02:00:00Z,0
SUB-00287,2026-03-08T02:00:00Z,0
SUB-00287,2026-04-05T02:00:00Z,5
SUB-00288,2026-01-24T04:00:00Z,0
SUB-00288,2026-03-07T04:00:00Z,0
SUB-00288,2026-03-28T04:00:00Z,6
SUB-00289,2026-01-22T13:00:00Z,0
SUB-00289,2026-03-05T13:00:00Z,0
SUB-00289,2026-03-29T13:00:00Z,3
SUB-00290,2026-01-24T10:00:00Z,0
SUB-00290,2026-03-07T10:00:00Z,1
SUB-00290,2026-03-26T10:00:00Z,5
SUB-00291,2026-01-17T21:00:00Z,0
SUB-00291,2026-02-28T21:00:00Z,0
SUB-00292,2026-01-18T22:00:00Z,0
SUB-00292,2026-03-01T22:00:00Z,0
SUB-00293,2026-01-27T06:00:00Z,0
SUB-00293,2026-03-10T06:00:00Z,1
SUB-00293,2026-03-31T06:00:00Z,5
SUB-00294,2026-01-16T11:00:00Z,2
SUB-00294,2026-02-27T11:00:00Z,3
SUB-00294,2026-03-05T11:00:00Z,9
SUB-00295,2026-01-23T05:00:00Z,0
SUB-00295,2026-03-06T05:00:00Z,1
SUB-00295,2026-04-02T05:00:00Z,6
SUB-00296,2026-01-27T10:00:00Z,1
SUB-00296,2026-03-10T10:00:00Z,2
SUB-00296,2026-04-03T10:00:00Z,9
SUB-00297,2026-01-16T15:00:00Z,0
SUB-00297,2026-02-27T15:00:00Z,0
SUB-00297,2026-03-27T15:00:00Z,4
SUB-00298,2026-01-24T02:00:00Z,0
SUB-00298,2026-03-07T02:00:00Z,0
SUB-00298,2026-03-14T02:00:00Z,4
SUB-00299,2026-01-24T14:00:00Z,0
SUB-00299,2026-03-07T14:00:00Z,1
SUB-00300,2026-01-25T01:00:00Z,0
SUB-00300,2026-03-08T01:00:00Z,0
SUB-00301,2026-01-26T01:00:00Z,0
SUB-00301,2026-03-09T01:00:00Z,0
SUB-00302,2026-01-17T13:00:00Z,0
SUB-00302,2026-02-28T13:00:00Z,0
SUB-00302,2026-03-07T13:00:00Z,3
SUB-00303,2026-01-17T08:00:00Z,0
SUB-00303,2026-02-28T08:00:00Z,0
SUB-00304,2026-01-29T16:00:00Z,0
SUB-00304,2026-03-12T16:00:00Z,0
SUB-00304,2026-03-20T16:00:00Z,5
SUB-00305,2026-01-17T13:00:00Z,0
SUB-00305,2026-02-28T13:00:00Z,0
SUB-00306,2026-01-18T16:00:00Z,0
SUB-00306,2026-03-01T16:00:00Z,0
SUB-00306,2026-03-22T16:00:00Z,4
SUB-00307,2026-01-21T12:00:00Z,0
SUB-00307,2026-03-04T12:00:00Z,0
SUB-00307,2026-03-29T12:00:00Z,4
SUB-00308,2026-01-23T04:00:00Z,0
SUB-00308,2026-03-06T04:00:00Z,0
SUB-00308,2026-03-26T04:00:00Z,3
SUB-00309,2026-01-19T01:00:00Z,0
SUB-00309,2026-03-02T01:00:00Z,0
SUB-00309,2026-03-07T01:00:00Z,5
SUB-00310,2026-01-30T03:00:00Z,0
SUB-00310,2026-03-13T03:00:00Z,1
SUB-00311,2026-01-22T05:00:00Z,0
SUB-00311,2026-03-05T05:00:00Z,0
SUB-00311,2026-03-21T05:00:00Z,3
SUB-00312,2026-01-19T16:00:00Z,0
SUB-00312,2026-03-02T16:00:00Z,1
SUB-00312,2026-03-14T16:00:00Z,7
SUB-00313,2026-01-19T15:00:00Z,0
SUB-00313,2026-03-02T15:00:00Z,0
SUB-00314,2026-01-21T10:00:00Z,0
SUB-00314,2026-03-04T10:00:00Z,1
SUB-00315,2026-01-23T11:00:00Z,0
SUB-00315,2026-03-06T11:00:00Z,0
SUB-00316,2026-01-18T11:00:00Z,0
SUB-00316,2026-03-01T11:00:00Z,0
SUB-00316,2026-03-26T11:00:00Z,1
SUB-00317,2026-01-24T14:00:00Z,0
SUB-00317,2026-03-07T14:00:00Z,1
SUB-00318,2026-01-18T12:00:00Z,0
SUB-00318,2026-03-01T12:00:00Z,0
SUB-00319,2026-01-21T10:00:00Z,0
SUB-00319,2026-03-04T10:00:00Z,0
SUB-00319,2026-03-23T10:00:00Z,6
SUB-00320,2026-01-18T08:00:00Z,0
SUB-00320,2026-03-01T08:00:00Z,0
SUB-00320,2026-03-29T08:00:00Z,4
SUB-00321,2026-01-17T21:00:00Z,1
SUB-00321,2026-02-28T21:00:00Z,2
SUB-00321,2026-03-26T21:00:00Z,10
SUB-00322,2026-01-21T10:00:00Z,0
SUB-00322,2026-03-04T10:00:00Z,0
SUB-00323,2026-01-27T00:00:00Z,0
SUB-00323,2026-03-10T00:00:00Z,0
SUB-00323,2026-03-22T00:00:00Z,5
SUB-00324,2026-01-19T03:00:00Z,0
SUB-00324,2026-03-02T03:00:00Z,0
SUB-00325,2026-01-23T16:00:00Z,0
SUB-00325,2026-03-06T16:00:00Z,0
SUB-00325,2026-03-17T16:00:00Z,4
SUB-00326,2026-01-20T23:00:00Z,0
SUB-00326,2026-03-03T23:00:00Z,0
SUB-00326,2026-03-11T23:00:00Z,2
SUB-00327,2026-01-28T21:00:00Z,0
SUB-00327,2026-03-11T21:00:00Z,0
SUB-00327,2026-03-26T21:00:00Z,1
SUB-00328,2026-01-24T00:00:00Z,0
SUB-00328,2026-03-07T00:00:00Z,0
SUB-00328,2026-03-20T00:00:00Z,5
SUB-00329,2026-01-22T15:00:00Z,0
SUB-00329,2026-03-05T15:00:00Z,1
SUB-00329,2026-03-22T15:00:00Z,4
SUB-00330,2026-01-18T19:00:00Z,0
SUB-00330,2026-03-01T19:00:00Z,0
SUB-00331,2026-01-22T06:00:00Z,0
SUB-00331,2026-03-05T06:00:00Z,0
SUB-00331,2026-03-27T06:00:00Z,3
SUB-00332,2026-01-17T06:00:00Z,0
SUB-00332,2026-02-28T06:00:00Z,1
SUB-00332,2026-03-13T06:00:00Z,6
SUB-00333,2026-01-26T00:00:00Z,0
SUB-00333,2026-03-09T00:00:00Z,0
SUB-00334,2026-01-29T16:00:00Z,0
SUB-00334,2026-03-12T16:00:00Z,1
SUB-00334,2026-04-03T16:00:00Z,6
SUB-00335,2026-01-27T22:00:00Z,0
SUB-00335,2026-03-10T22:00:00Z,0
SUB-00336,2026-01-26T16:00:00Z,0
SUB-00336,2026-03-09T16:00:00Z,1
SUB-00336,2026-03-17T16:00:00Z,5
SUB-00337,2026-01-19T18:00:00Z,0
SUB-00337,2026-03-02T18:00:00Z,1
SUB-00338,2026-01-21T09:00:00Z,0
SUB-00338,2026-03-04T09:00:00Z,0
SUB-00338,2026-03-22T09:00:00Z,3
SUB-00339,2026-01-27T09:00:00Z,0
SUB-00339,2026-03-10T09:00:00Z,1
SUB-00340,2026-01-26T15:00:00Z,0
SUB-00340,2026-03-09T15:00:00Z,1
SUB-00340,2026-03-18T15:00:00Z,4
SUB-00341,2026-01-28T10:00:00Z,0
SUB-00341,2026-03-11T10:00:00Z,0
SUB-00341,2026-04-09T10:00:00Z,4
SUB-00342,2026-01-17T19:00:00Z,0
SUB-00342,2026-02-28T19:00:00Z,0
SUB-00342,2026-03-21T19:00:00Z,2
SUB-00343,2026-01-17T04:00:00Z,0
SUB-00343,2026-02-28T04:00:00Z,1
SUB-00344,2026-01-20T05:00:00Z,0
SUB-00344,2026-03-03T05:00:00Z,1
SUB-00344,2026-03-31T05:00:00Z,6
SUB-00345,2026-01-24T19:00:00Z,0
SUB-00345,2026-03-07T19:00:00Z,0
SUB-00346,2026-01-24T10:00:00Z,0
SUB-00346,2026-03-07T10:00:00Z,0
SUB-00347,2026-01-26T00:00:00Z,0
SUB-00347,2026-03-09T00:00:00Z,0
SUB-00348,2026-01-19T23:00:00Z,0
SUB-00348,2026-03-02T23:00:00Z,1
SUB-00349,2026-01-22T17:00:00Z,0
SUB-00349,2026-03-05T17:00:00Z,0
SUB-00349,2026-03-16T17:00:00Z,2
SUB-00350,2026-01-28T21:00:00Z,0
SUB-00350,2026-03-11T21:00:00Z,0
SUB-00350,2026-03-26T21:00:00Z,1
SUB-00351,2026-01-22T17:00:00Z,0
SUB-00351,2026-03-05T17:00:00Z,1
SUB-00352,2026-01-27T03:00:00Z,0
SUB-00352,2026-03-10T03:00:00Z,1
SUB-00353,2026-01-25T09:00:00Z,0
SUB-00353,2026-03-08T09:00:00Z,1
SUB-00353,2026-03-17T09:00:00Z,3
SUB-00354,2026-01-26T21:00:00Z,1
SUB-00354,2026-03-09T21:00:00Z,2
SUB-00354,2026-03-29T21:00:00Z,5
SUB-00355,2026-01-17T21:00:00Z,0
SUB-00355,2026-02-28T21:00:00Z,0
SUB-00356,2026-01-30T03:00:00Z,0
SUB-00356,2026-03-13T03:00:00Z,0
SUB-00356,2026-03-21T03:00:00Z,5
SUB-00357,2026-01-19T19:00:00Z,0
SUB-00357,2026-03-02T19:00:00Z,0
SUB-00358,2026-01-27T07:00:00Z,0
SUB-00358,2026-03-10T07:00:00Z,1
SUB-00359,2026-01-16T09:00:00Z,0
SUB-00359,2026-02-27T09:00:00Z,1
SUB-00359,2026-03-26T09:00:00Z,7
SUB-00360,2026-01-20T13:00:00Z,0
SUB-00360,2026-03-03T13:00:00Z,0
SUB-00360,2026-03-09T13:00:00Z,5
SUB-00361,2026-01-27T15:00:00Z,0
SUB-00361,2026-03-10T15:00:00Z,0
SUB-00361,2026-03-29T15:00:00Z,3
SUB-00362,2026-01-22T22:00:00Z,0
SUB-00362,2026-03-05T22:00:00Z,1
SUB-00362,2026-03-29T22:00:00Z,9
SUB-00363,2026-01-28T22:00:00Z,0
SUB-00363,2026-03-11T22:00:00Z,0
SUB-00363,2026-03-19T22:00:00Z,7
SUB-00364,2026-01-19T19:00:00Z,0
SUB-00364,2026-03-02T19:00:00Z,1
SUB-00364,2026-03-18T19:00:00Z,2
SUB-00365,2026-01-17T08:00:00Z,0
SUB-00365,2026-02-28T08:00:00Z,1
SUB-00365,2026-03-24T08:00:00Z,5
SUB-00366,2026-01-16T12:00:00Z,0
SUB-00366,2026-02-27T12:00:00Z,0
SUB-00367,2026-01-25T08:00:00Z,0
SUB-00367,2026-03-08T08:00:00Z,0
SUB-00368,2026-01-18T11:00:00Z,0
SUB-00368,2026-03-01T11:00:00Z,1
SUB-00368,2026-03-20T11:00:00Z,3
SUB-00369,2026-01-20T03:00:00Z,0
SUB-00369,2026-03-03T03:00:00Z,0
SUB-00370,2026-01-26T00:00:00Z,0
SUB-00370,2026-03-09T00:00:00Z,1
SUB-00370,2026-03-17T00:00:00Z,7
SUB-00371,2026-01-23T10:00:00Z,0
SUB-00371,2026-03-06T10:00:00Z,0
SUB-00372,2026-01-25T07:00:00Z,0
SUB-00372,2026-03-08T07:00:00Z,0
SUB-00373,2026-01-19T01:00:00Z,0
SUB-00373,2026-03-02T01:00:00Z,0
SUB-00374,2026-01-23T19:00:00Z,0
SUB-00374,2026-03-06T19:00:00Z,0
SUB-00375,2026-01-25T06:00:00Z,0
SUB-00375,2026-03-08T06:00:00Z,0
SUB-00375,2026-03-16T06:00:00Z,6
SUB-00376,2026-01-23T21:00:00Z,0
SUB-00376,2026-03-06T21:00:00Z,0
SUB-00376,2026-04-04T21:00:00Z,2
SUB-00377,2026-01-24T02:00:00Z,0
SUB-00377,2026-03-07T02:00:00Z,0
SUB-00378,2026-01-19T09:00:00Z,0
SUB-00378,2026-03-02T09:00:00Z,1
SUB-00378,2026-03-18T09:00:00Z,10
SUB-00379,2026-01-28T06:00:00Z,0
SUB-00379,2026-03-11T06:00:00Z,0
SUB-00379,2026-03-19T06:00:00Z,2
SUB-00380,2026-01-26T18:00:00Z,1
SUB-00380,2026-03-09T18:00:00Z,2
SUB-00381,2026-01-24T02:00:00Z,0
SUB-00381,2026-03-07T02:00:00Z,0
SUB-00381,2026-03-26T02:00:00Z,1
SUB-00382,2026-01-26T20:00:00Z,0
SUB-00382,2026-03-09T20:00:00Z,0
SUB-00382,2026-03-23T20:00:00Z,5
SUB-00383,2026-01-16T08:00:00Z,0
SUB-00383,2026-02-27T08:00:00Z,0
SUB-00384,2026-01-19T14:00:00Z,0
SUB-00384,2026-03-02T14:00:00Z,0
SUB-00384,2026-03-18T14:00:00Z,5
SUB-00385,2026-01-23T09:00:00Z,0
SUB-00385,2026-03-06T09:00:00Z,1
SUB-00385,2026-03-21T09:00:00Z,3
SUB-00386,2026-01-24T07:00:00Z,0
SUB-00386,2026-03-07T07:00:00Z,0
SUB-00387,2026-01-27T18:00:00Z,0
SUB-00387,2026-03-10T18:00:00Z,0
SUB-00387,2026-03-22T18:00:00Z,10
SUB-00388,2026-01-19T07:00:00Z,0
SUB-00388,2026-03-02T07:00:00Z,0
SUB-00388,2026-03-30T07:00:00Z,3
SUB-00389,2026-01-23T10:00:00Z,0
SUB-00389,2026-03-06T10:00:00Z,1
SUB-00390,2026-01-27T06:00:00Z,0
SUB-00390,2026-03-10T06:00:00Z,0
SUB-00390,2026-03-27T06:00:00Z,5
SUB-00391,2026-01-22T00:00:00Z,0
SUB-00391,2026-03-05T00:00:00Z,0
SUB-00392,2026-01-26T07:00:00Z,0
SUB-00392,2026-03-09T07:00:00Z,1
SUB-00392,2026-03-28T07:00:00Z,2
SUB-00393,2026-01-18T06:00:00Z,0
SUB-00393,2026-03-01T06:00:00Z,0
SUB-00394,2026-01-18T07:00:00Z,0
SUB-00394,2026-03-01T07:00:00Z,0
SUB-00395,2026-01-20T13:00:00Z,0
SUB-00395,2026-03-03T13:00:00Z,1
SUB-00395,2026-03-28T13:00:00Z,4
SUB-00396,2026-01-20T02:00:00Z,0
SUB-00396,2026-03-03T02:00:00Z,1
SUB-00396,2026-03-23T02:00:00Z,2
SUB-00397,2026-01-21T11:00:00Z,0
SUB-00397,2026-03-04T11:00:00Z,1
SUB-00397,2026-04-02T11:00:00Z,5
SUB-00398,2026-01-21T22:00:00Z,0
SUB-00398,2026-03-04T22:00:00Z,0
SUB-00399,2026-01-24T04:00:00Z,0
SUB-00399,2026-03-07T04:00:00Z,0
SUB-00399,2026-03-24T04:00:00Z,4
SUB-00400,2026-01-17T23:00:00Z,0
SUB-00400,2026-02-28T23:00:00Z,0
SUB-00400,2026-03-05T23:00:00Z,4
SUB-00401,2026-01-16T14:00:00Z,0
SUB-00401,2026-02-27T14:00:00Z,0
SUB-00402,2026-01-19T15:00:00Z,1
SUB-00402,2026-03-02T15:00:00Z,2
SUB-00402,2026-03-08T15:00:00Z,6
SUB-00403,2026-01-19T02:00:00Z,0
SUB-00403,2026-03-02T02:00:00Z,1
SUB-00404,2026-01-27T09:00:00Z,0
SUB-00404,2026-03-10T09:00:00Z,0
SUB-00405,2026-01-19T23:00:00Z,0
SUB-00405,2026-03-02T23:00:00Z,0
SUB-00405,2026-03-31T23:00:00Z,5
SUB-00406,2026-01-22T01:00:00Z,0
SUB-00406,2026-03-05T01:00:00Z,0
SUB-00406,2026-03-12T01:00:00Z,3
SUB-00407,2026-01-22T08:00:00Z,0
SUB-00407,2026-03-05T08:00:00Z,0
SUB-00407,2026-03-11T08:00:00Z,1
SUB-00408,2026-01-24T15:00:00Z,0
SUB-00408,2026-03-07T15:00:00Z,0
SUB-00408,2026-04-01T15:00:00Z,4
SUB-00409,2026-01-17T11:00:00Z,0
SUB-00409,2026-02-28T11:00:00Z,0
SUB-00409,2026-03-29T11:00:00Z,3
SUB-00410,2026-01-29T10:00:00Z,0
SUB-00410,2026-03-12T10:00:00Z,1
SUB-00410,2026-04-09T10:00:00Z,4
SUB-00411,2026-01-23T00:00:00Z,0
SUB-00411,2026-03-06T00:00:00Z,0
SUB-00412,2026-01-24T00:00:00Z,0
SUB-00412,2026-03-07T00:00:00Z,1
SUB-00412,2026-03-15T00:00:00Z,5
SUB-00413,2026-01-22T21:00:00Z,0
SUB-00413,2026-03-05T21:00:00Z,0
SUB-00413,2026-03-14T21:00:00Z,2
SUB-00414,2026-01-24T09:00:00Z,0
SUB-00414,2026-03-07T09:00:00Z,1
SUB-00415,2026-01-23T02:00:00Z,0
SUB-00415,2026-03-06T02:00:00Z,0
SUB-00415,2026-03-25T02:00:00Z,4
SUB-00416,2026-01-18T03:00:00Z,0
SUB-00416,2026-03-01T03:00:00Z,1
SUB-00416,2026-03-22T03:00:00Z,3
SUB-00417,2026-01-19T03:00:00Z,0
SUB-00417,2026-03-02T03:00:00Z,0
SUB-00418,2026-01-24T22:00:00Z,0
SUB-00418,2026-03-07T22:00:00Z,0
SUB-00419,2026-01-16T08:00:00Z,0
SUB-00419,2026-02-27T08:00:00Z,0
SUB-00419,2026-03-25T08:00:00Z,4
SUB-00420,2026-01-24T21:00:00Z,0
SUB-00420,2026-03-07T21:00:00Z,0
SUB-00420,2026-03-15T21:00:00Z,2
SUB-00421,2026-01-21T12:00:00Z,0
SUB-00421,2026-03-04T12:00:00Z,0
SUB-00421,2026-04-02T12:00:00Z,3
SUB-00422,2026-01-25T15:00:00Z,0
SUB-00422,2026-03-08T15:00:00Z,0
SUB-00423,2026-01-23T21:00:00Z,1
SUB-00423,2026-03-06T21:00:00Z,2
SUB-00423,2026-03-25T21:00:00Z,8
SUB-00424,2026-01-23T15:00:00Z,0
SUB-00424,2026-03-06T15:00:00Z,0
SUB-00425,2026-01-21T17:00:00Z,1
SUB-00425,2026-03-04T17:00:00Z,2
SUB-00426,2026-01-28T08:00:00Z,1
SUB-00426,2026-03-11T08:00:00Z,2
SUB-00427,2026-01-18T07:00:00Z,0
SUB-00427,2026-03-01T07:00:00Z,0
SUB-00428,2026-01-21T08:00:00Z,0
SUB-00428,2026-03-04T08:00:00Z,0
SUB-00429,2026-01-21T17:00:00Z,0
SUB-00429,2026-03-04T17:00:00Z,0
SUB-00430,2026-01-17T04:00:00Z,0
SUB-00430,2026-02-28T04:00:00Z,1
SUB-00431,2026-01-26T13:00:00Z,0
SUB-00431,2026-03-09T13:00:00Z,1
SUB-00431,2026-03-30T13:00:00Z,5
SUB-00432,2026-01-21T23:00:00Z,1
SUB-00432,2026-03-04T23:00:00Z,2
SUB-00433,2026-01-17T05:00:00Z,0
SUB-00433,2026-02-28T05:00:00Z,0
SUB-00434,2026-01-20T07:00:00Z,0
SUB-00434,2026-03-03T07:00:00Z,0
SUB-00434,2026-03-25T07:00:00Z,3
SUB-00435,2026-01-17T13:00:00Z,0
SUB-00435,2026-02-28T13:00:00Z,0
SUB-00435,2026-03-22T13:00:00Z,1
SUB-00436,2026-01-27T18:00:00Z,0
SUB-00436,2026-03-10T18:00:00Z,1
SUB-00436,2026-03-25T18:00:00Z,4
SUB-00437,2026-01-19T02:00:00Z,0
SUB-00437,2026-03-02T02:00:00Z,1
SUB-00438,2026-01-22T20:00:00Z,0
SUB-00438,2026-03-05T20:00:00Z,0
SUB-00438,2026-03-12T20:00:00Z,2
SUB-00439,2026-01-18T00:00:00Z,0
SUB-00439,2026-03-01T00:00:00Z,0
SUB-00440,2026-01-27T03:00:00Z,0
SUB-00440,2026-03-10T03:00:00Z,1
SUB-00441,2026-01-28T09:00:00Z,0
SUB-00441,2026-03-11T09:00:00Z,1
SUB-00441,2026-04-08T09:00:00Z,3
SUB-00442,2026-01-28T18:00:00Z,0
SUB-00442,2026-03-11T18:00:00Z,1
SUB-00442,2026-03-26T18:00:00Z,7
SUB-00443,2026-01-30T06:00:00Z,0
SUB-00443,2026-03-13T06:00:00Z,1
SUB-00444,2026-01-25T00:00:00Z,0
SUB-00444,2026-03-08T00:00:00Z,0
SUB-00444,2026-03-22T00:00:00Z,3
SUB-00445,2026-01-23T20:00:00Z,0
SUB-00445,2026-03-06T20:00:00Z,1
SUB-00446,2026-01-19T13:00:00Z,0
SUB-00446,2026-03-02T13:00:00Z,0
SUB-00447,2026-01-22T00:00:00Z,0
SUB-00447,2026-03-05T00:00:00Z,0
SUB-00448,2026-01-23T09:00:00Z,1
SUB-00448,2026-03-06T09:00:00Z,2
SUB-00448,2026-03-27T09:00:00Z,4
SUB-00449,2026-01-29T09:00:00Z,0
SUB-00449,2026-03-12T09:00:00Z,1
SUB-00449,2026-03-30T09:00:00Z,4
SUB-00450,2026-01-17T08:00:00Z,0
SUB-00450,2026-02-28T08:00:00Z,0
SUB-00451,2026-01-24T18:00:00Z,0
SUB-00451,2026-03-07T18:00:00Z,0
SUB-00452,2026-01-26T12:00:00Z,0
SUB-00452,2026-03-09T12:00:00Z,0
SUB-00453,2026-01-23T15:00:00Z,0
SUB-00453,2026-03-06T15:00:00Z,0
